site,label,mean_profit_own_first_stage,mean_profit_published_first_stage,published_alt_water_cap_cm,published_alt_elc_cap_kW,stochastic_mean_profit,vss_own_first_stage,vss_published_first_stage
EP,Equally Probable,2246937.549733705,2246937.6743393266,5.445670612732769,94.34376384684164,2246937.8910066006,0.3412728956900537,0.21666727401316166
DML,Dry Most Likely,1898256.2782976374,1898280.7667994085,11.844907090764613,221.91113690195056,1899221.1645801894,964.8862825520337,940.3977807809133
