Climate_Probability,sim,profit_mean,profit_sd,profit_t,profit_se,profit_h,crop_yield_mean,crop_yield_sd,crop_yield_t,crop_yield_se,crop_yield_h
Equally Probable,Perfect Information,2355662.3752840697,635132.5464936846,1.9605573771860274,10043.582841444648,19691.020433173308,2.8661801330840704,0.9092099709326656,1.9599877077718446,0.0028751887554624273,0.0056353346182301855
Equally Probable,"Known Climate, Unknown Weather",2345267.106809929,640490.7140009397,1.9605573771860274,10128.313500477232,19857.139751813473,2.835512019364352,0.9641327213495537,1.9599877077718446,0.003048870610552203,0.005975748919269157
Equally Probable,Stochastic,2246937.8910066006,616445.6677889815,1.9605573771860274,9748.080406000521,19111.670953386885,2.6743240661796137,1.1137549922239367,1.9599877077718446,0.0035220201409554923,0.006903116182797624
Equally Probable,Expected Value,2246937.549733705,616515.6954052532,1.9605573771860274,9749.187778263362,19113.84202024609,2.674035382429658,1.11359647771772,1.9599877077718446,0.003521518871567318,0.00690213370095852
Dry Most Likely,Perfect Information,1975826.739203914,490655.20344320766,1.9605573771860274,7758.909867826674,15211.78798028905,2.770853861858719,0.8399566082483448,1.9599877077718446,0.0026561892987542403,0.0052060983750734265
Dry Most Likely,"Known Climate, Unknown Weather",1964087.428797973,489984.2453753546,1.9605573771860274,7748.2997629362535,15190.986260873418,2.7567736738479196,0.8662707961120065,1.9599877077718446,0.002739402483247934,0.005369195193805617
Dry Most Likely,Stochastic,1899221.1645801894,424366.85599311744,1.9605573771860274,6710.668028051789,13156.649708243347,2.6657065049329045,0.9293640451605785,1.9599877077718446,0.002938921852821015,0.005760250705631243
Dry Most Likely,Expected Value,1898256.2782976374,407823.2604523399,1.9605573771860274,6449.058111780862,12643.748456953363,2.7136061043958413,0.8942883882221901,1.9599877077718446,0.0028280023318700285,0.005542849808015368
