"","Climate_Probability","sim","profit_mean","profit_sd","profit_t","profit_se","profit_h","crop_yield_mean","crop_yield_sd","crop_yield_t","crop_yield_se","crop_yield_h"
"1","Equally Probable","Perfect Information",2355663.1032086,635132.897398116,1.96055737718603,10043.5883904245,19691.0313122668,2.86614919885869,0.90923652150039,1.95998770777184,0.00287527271614941,0.00563549918014461
"2","Equally Probable","Known Climate, Unknown Weather",2345266.78510709,640496.562511913,1.96055737718603,10128.4059851165,19857.3210732553,2.83535758073338,0.964229604408114,1.95998770777184,0.00304917698321581,0.00597634940592381
"3","Equally Probable","Stochastic",2246937.96149909,616454.046005044,1.96055737718603,9748.21289378997,19111.9307032999,2.67428996157181,1.11373646399649,1.95998770777184,0.00352196154926279,0.00690300134380016
"4","Equally Probable","Expected Value",2246937.47280942,616517.817381931,1.96055737718603,9749.22133385529,19113.9078079094,2.67402316873426,1.11359159244897,1.95998770777184,0.00352150342291386,0.00690210342178763
"5","Dry Most Likely","Perfect Information",1975827.23945332,490655.379102161,1.96055737718603,7758.91264558584,15211.7934262453,2.77078531487026,0.840002750149338,1.95998770777184,0.00265633521298652,0.00520638436517509
"6","Dry Most Likely","Known Climate, Unknown Weather",1964087.20890134,489987.289717417,1.96055737718603,7748.34790422875,15191.0806446396,2.75671109011612,0.86630891554978,1.95998770777184,0.00273952302809715,0.00536943146022831
"7","Dry Most Likely","Stochastic",1899221.23136143,424373.988772969,1.96055737718603,6710.78082130373,13156.8708458855,2.66568558898708,0.929379104007702,1.95998770777184,0.00293896947331496,0.00576034404121402
"8","Dry Most Likely","Expected Value",1898280.33143374,408032.934792877,1.96055737718603,6452.37376867884,12650.2489925449,2.7130051639,0.894734211855026,1.95998770777184,0.00282941215703366,0.0055456130480062
